,name,img,url,logo,category,description,location,ratings,displayNam,phone_numbers,opening_hours_list
535,Optical 88,https://www.sunwaypyramid.com/static/shops/f819b053f2a93e2fadfa6955238d4c78/w768-crop.jpg,https://www.sunwaypyramid.com/directory/optical-88,https://www.sunwaypyramid.com/static/shops/1a4d711bbfad5fc0c33ca74f6d3a12ac/w768.png,Eyewear,"Established in 1988. Optical 88 owns the largest professional optical retail network in Hong Kong now. With approximately 200 shops, our branch network spans in China and Southeast Asia, including Macau, Singapore, Thailand and Malaysia. Our high-quality, customer-oriented services have helped us not only gain customers' praise and support, but also recognition as a leader in the industry.
Being the dealer in a variety of international brands, Optical 88 offers a broad and diverse choice of product types and styles. Thanks to their modern and chic design, as well as reliable quality, our products have proved to be extremely popular in all the markets we operate in.",LG1.95 (Lower Ground 1 Floor),"(5⭐) Very large. If I lived here, I would take a few months to even fully explore the place, much less try out all of the stores. Pretty fun, lots to eat and shop, so honestly it's worth living nearby. Food isn't very pricey so that's also a plus. - in the last week | (5⭐) Sunway Pyramid is truly a shopper’s paradise and a fantastic destination for entertainment, dining, and more. The mall is enormous, with a wide variety of stores ranging from luxury brands to affordable options. The unique Egyptian-themed architecture makes it stand out, creating a visually stunning experience as you explore. The food court offers an excellent selection of delicious cuisines, and there’s always something happening, from events to exciting attractions. The staff is friendly, and the facilities are well-maintained. A perfect place for a family outing or a day of shopping—highly recommend! - 3 months ago | (4⭐) As a frequent visitor, here’s my take on Sunway Pyramid:
•	Diverse Shopping: With a wide array of shops, it caters to all family members, from fashion to gadgets.
•	Family-Friendly Activities: The mall features an indoor ice-skating rink and a massive arcade that are perfect for kids and adults alike. My daughter loves to play at Parenthood. They have upgraded it too recently and we enjoyed it.
•	Food Haven: Offers an extensive selection of dining options from fast food to upscale restaurants. For Indian food you can try Mantra Restaurant (Not great but decent)
•	Convenient Layout: Despite its size, the mall is well-organized, making navigation easy.
•	Themed Decor: The Egyptian-inspired architecture adds a unique charm, making every visit memorable.

It is connected to Sunway Lagoon. - 2 months ago | (5⭐) Sunway Pyramid, located in Bandar Sunway, Malaysia, is a prominent and well-loved shopping mall known for its unique architecture, diverse offerings, and exceptional customer service. One of the standout features of the mall is its impressive Egyptian-inspired design, with a large glass pyramid at the entrance that captures the attention of visitors. It’s a visually appealing and iconic landmark that creates a memorable first impression for anyone approaching the mall.

The mall boasts a wide variety of retail stores, from high-end fashion brands to affordable, trendy boutiques, catering to shoppers of all tastes and budgets. Whether you’re looking for international brands or local gems, Sunway Pyramid has it all. It’s also home to numerous dining options, with restaurants offering diverse cuisines ranging from Malaysian delicacies to Western comfort food, ensuring there’s something for everyone.

In terms of entertainment, Sunway Pyramid goes above and beyond with a range of activities, including an ice skating rink, a bowling alley, and a cinema, making it a perfect spot for family outings or social gatherings. The cleanliness and well-maintained facilities enhance the overall shopping experience, with clear signage, ample seating areas, and a comfortable environment for visitors.

Customers have consistently praised the mall for its friendly and helpful staff, who are always available to assist with any queries. The convenience of ample parking spaces and well-connected public transport options makes Sunway Pyramid accessible to all, further enhancing its appeal. With its wide range of offerings, excellent customer service, and pleasant environment, Sunway Pyramid continues to be a favorite destination for both locals and tourists alike. - a month ago | (5⭐) Sunway Pyramid is truly a gem in the heart of the city! From the moment you step inside, you’re greeted with a vibrant atmosphere and an impressive array of shops, making it a perfect destination for shopping, dining, and entertainment. The mall is vast, with a wide variety of stores, from high-end fashion boutiques to trendy local brands, ensuring there’s something for everyone.

The design of the mall itself is stunning, with its iconic Egyptian-themed architecture adding a unique flair. The spacious layout makes it easy to navigate, and the many open areas and atriums offer a refreshing break from shopping.

What stands out the most is the variety of dining options. Whether you’re in the mood for casual bites or fine dining, Sunway Pyramid has it all. From international cuisines to local favorites, the food court and restaurants offer a delightful selection to suit any taste.

For entertainment, the options are just as diverse. Whether you’re catching the latest blockbuster at the cinema, having fun at the ice skating rink, or exploring the interactive attractions, there’s never a dull moment at this mall.

The staff are always friendly, and the overall experience is top-notch. Sunway Pyramid truly caters to every need, making it a perfect spot for family outings, friends’ gatherings, or solo trips. A place where shopping meets fun and excitement—highly recommend it! - 3 months ago",Sunway Pyramid Shopping Mall,+60 3-7494 3100,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
536,Orange Concourse,https://www.sunwaypyramid.com/static/shops/f1723f2c0dc4fc971129e2950266f953/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/orange-concourse,https://www.sunwaypyramid.com/static/shops/862ea177c7a9a82390bbbbbabdada925/w768.png,Event,,(Lower Ground 2 Floor),No Reviews,Orange Concourse,N/A,N/A
537,Organic Plant,https://www.sunwaypyramid.com/static/shops/11f4ef7d0577906ba2405a5973d1180a/w768-crop.jpg,https://www.sunwaypyramid.com/directory/organic-plant,https://www.sunwaypyramid.com/static/shops/d9aa1db41c908e9f23bf18884d6a78f5/w768.png,Home & Living,,LG2.034.PushCart (Lower Ground 2 Floor),"(5⭐) Very large. If I lived here, I would take a few months to even fully explore the place, much less try out all of the stores. Pretty fun, lots to eat and shop, so honestly it's worth living nearby. Food isn't very pricey so that's also a plus. - in the last week | (5⭐) Sunway Pyramid is truly a shopper’s paradise and a fantastic destination for entertainment, dining, and more. The mall is enormous, with a wide variety of stores ranging from luxury brands to affordable options. The unique Egyptian-themed architecture makes it stand out, creating a visually stunning experience as you explore. The food court offers an excellent selection of delicious cuisines, and there’s always something happening, from events to exciting attractions. The staff is friendly, and the facilities are well-maintained. A perfect place for a family outing or a day of shopping—highly recommend! - 3 months ago | (4⭐) As a frequent visitor, here’s my take on Sunway Pyramid:
•	Diverse Shopping: With a wide array of shops, it caters to all family members, from fashion to gadgets.
•	Family-Friendly Activities: The mall features an indoor ice-skating rink and a massive arcade that are perfect for kids and adults alike. My daughter loves to play at Parenthood. They have upgraded it too recently and we enjoyed it.
•	Food Haven: Offers an extensive selection of dining options from fast food to upscale restaurants. For Indian food you can try Mantra Restaurant (Not great but decent)
•	Convenient Layout: Despite its size, the mall is well-organized, making navigation easy.
•	Themed Decor: The Egyptian-inspired architecture adds a unique charm, making every visit memorable.

It is connected to Sunway Lagoon. - 2 months ago | (5⭐) Sunway Pyramid, located in Bandar Sunway, Malaysia, is a prominent and well-loved shopping mall known for its unique architecture, diverse offerings, and exceptional customer service. One of the standout features of the mall is its impressive Egyptian-inspired design, with a large glass pyramid at the entrance that captures the attention of visitors. It’s a visually appealing and iconic landmark that creates a memorable first impression for anyone approaching the mall.

The mall boasts a wide variety of retail stores, from high-end fashion brands to affordable, trendy boutiques, catering to shoppers of all tastes and budgets. Whether you’re looking for international brands or local gems, Sunway Pyramid has it all. It’s also home to numerous dining options, with restaurants offering diverse cuisines ranging from Malaysian delicacies to Western comfort food, ensuring there’s something for everyone.

In terms of entertainment, Sunway Pyramid goes above and beyond with a range of activities, including an ice skating rink, a bowling alley, and a cinema, making it a perfect spot for family outings or social gatherings. The cleanliness and well-maintained facilities enhance the overall shopping experience, with clear signage, ample seating areas, and a comfortable environment for visitors.

Customers have consistently praised the mall for its friendly and helpful staff, who are always available to assist with any queries. The convenience of ample parking spaces and well-connected public transport options makes Sunway Pyramid accessible to all, further enhancing its appeal. With its wide range of offerings, excellent customer service, and pleasant environment, Sunway Pyramid continues to be a favorite destination for both locals and tourists alike. - a month ago | (5⭐) Sunway Pyramid is truly a gem in the heart of the city! From the moment you step inside, you’re greeted with a vibrant atmosphere and an impressive array of shops, making it a perfect destination for shopping, dining, and entertainment. The mall is vast, with a wide variety of stores, from high-end fashion boutiques to trendy local brands, ensuring there’s something for everyone.

The design of the mall itself is stunning, with its iconic Egyptian-themed architecture adding a unique flair. The spacious layout makes it easy to navigate, and the many open areas and atriums offer a refreshing break from shopping.

What stands out the most is the variety of dining options. Whether you’re in the mood for casual bites or fine dining, Sunway Pyramid has it all. From international cuisines to local favorites, the food court and restaurants offer a delightful selection to suit any taste.

For entertainment, the options are just as diverse. Whether you’re catching the latest blockbuster at the cinema, having fun at the ice skating rink, or exploring the interactive attractions, there’s never a dull moment at this mall.

The staff are always friendly, and the overall experience is top-notch. Sunway Pyramid truly caters to every need, making it a perfect spot for family outings, friends’ gatherings, or solo trips. A place where shopping meets fun and excitement—highly recommend it! - 3 months ago",Sunway Pyramid Shopping Mall,+60 3-7494 3100,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
538,Oriental Kopi,https://www.sunwaypyramid.com/static/shops/2ef3d79c1b1ae66f2e84ba5182a76595/w768-crop.jpg,https://www.sunwaypyramid.com/directory/oriental-kopi,https://www.sunwaypyramid.com/static/shops/283d3279334a7e673b35ee5205f9438a/w768.png,Food & Beverages,"Oriental Kopi prides itself in serving mouthwatering NanYang cuisine that is borne of age-old recipes and traditions. Signature dishes include Oriental Coffee, Portuguese EggTart & Polo Bun.","G1.108, G1.109 (Ground Floor)","(5⭐) Oriental Kopi at Sunway Pyramid is a consistently popular spot, drawing crowds with its lively atmosphere and efficient service. Whether you’re grabbing a quick bite or settling in for a meal, the staff ensures a smooth and welcoming experience. The menu features a great mix of local favorites, with their signature egg tarts being a standout—crispy, buttery pastry filled with a rich, velvety custard. Their coffee is equally impressive, strong and aromatic, making it the perfect complement to their sweet and savory offerings. Despite the long queues, service remains quick, and the vibrant setting adds to the overall charm. A great place to enjoy classic flavours in a bustling yet comfortable environment. - 3 weeks ago | (5⭐) Awesome food and service here. Love the speed of food served and quality. Their egg tart coffee is famous. I like their chicken rice

Warning. Come early to avoid long queues

Baby seat limited but we got a sofa. Think its something they need to work on - a month ago | (2⭐) Food was so so. Not worth the queue and calories. Was expecting to be awed but the taste of the food which I had ordered did not meet my expectation.

Service is good and staff are friendly. The only consolation I had from the meal was the Coffee with Cincau. That's the best I had!

Had visited the highly raved place but will never go back for food except to have my coffee take away. - 3 months ago | (4⭐) A popular and well-visited restaurant that offers good food with high quality. There is always a queue to get in and it is worth the wait. Today I tried Malay Fried Rice, Egg Tart and Cincau Cold. It was tasty and refreshing. - a month ago | (4⭐) This restaurant has a pretty long cue when we arrive. That’s just natural given how popular and the reputation it has among the locals like myself. I only visited their branch in KLIA but not the one here.

So when my family arrived at this branch this morning, there was a pretty long cue. But what I admire most was how quick their staff got their act together in ensuring each waiting customer gets welcome and directed to their seats while not getting them to wait too long. I personally thought their service was pretty professional and efficient.

Their environment was pretty spot on as it gives off the classy kopitiam vibes.

Now, when it comes to their food & beverages. Their coffee is certainly not bad but is definitely not the best I’ve tried. Their famous Ipoh Hor Fun was rather bland and am not too sure why it’s much to shout about. I certainly have tried much better Ipoh Hor Fun out there. But don’t let that ruin your entire experience at this restaurant. The saving grace for me and is one of their must try dishes if you’re here is their Nasi Lemak and their Kaya & Butter Toast bun as well as their Oriental Polo Bun. Am glad that it wasn’t a completely letdown and negative experience.

It’s definitely a good place to have breakfast or tea time. Be sure to check this place out! - a month ago",Oriental Kopi @ Sunway Pyramid,+60 18-771 6363,"Monday: 9:00 AM – 10:00 PM, Tuesday: 9:00 AM – 10:00 PM, Wednesday: 9:00 AM – 10:00 PM, Thursday: 9:00 AM – 10:00 PM, Friday: 9:00 AM – 10:00 PM, Saturday: 8:00 AM – 10:00 PM, Sunday: 8:00 AM – 10:00 PM"
539,Oriental Sun,https://www.sunwaypyramid.com/static/shops/90fb363ecc12efdd5c5e5510fc6fa259/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/oriental-sun,https://www.sunwaypyramid.com/static/shops/157ddc9a551917975a5fa2747a21dc85/w768.png,Food & Beverages,"The newest addition to the Oriental Group opens this September in Sunway Pyramid. Spoiling you with views of Sunway Lagoon through floor-to-ceiling windows, we strive for nothing short of elegance here at Oriental Sun.
Oriental Sun brings you the best of modern Cantonese cuisine. Aspire to excel in dim sum and a great selection of the group's signature dishes and house specialties by combining the freshest ingredients with the precision and skill of our experienced chefs.
Four private dining rooms are available for corporate gatherings and family celebrations accommodating intimate groups of 10 or up to 24 pax.",G1.42 (Ground Floor),"(5⭐) We love their traditional Shunde dishes and local dishes such as claypot loh shu fun and dim sum . Best claypot loh shu fun we had in KL ! Dim sum of superior ingredients and their daily specials such as pig stomach soup is flavorful and delicious. 2nd time here within 3 months  and will return to try their other special Shunde dishes ! - a month ago | (3⭐) Bill total below RM850. Tofu with crab roe sauce was fishy tasting. Usual Oriental group fare. nothing earth shatteringly good. - a month ago | (5⭐) Dim sum selection which includes truffle infused ones and very quick service with dedicated servers every few tables. Too bad the Sunway Points takes 2 weeks to be credited. - 4 months ago | (5⭐) Had my simple tea ceremony and dinner at their private room. Food is excellent  and Mr Samuel very accommodating to my requests to have the room decorated by my team and even willing to slightly switch the package menu dish. All staffs are very friendly and helpful.

Definitely recommended to have a celebration events here. - 8 months ago | (4⭐) Delicious dim sum. Attentive service. Tables are arranged slightly too close. And some of the furniture looked worn out. - a month ago",Oriental Sun 君城酒家,+60 3-5611 1138,"Monday: 11:00 AM – 3:00 PM, 6:00 – 10:00 PM, Tuesday: 11:00 AM – 3:00 PM, 6:00 – 10:00 PM, Wednesday: 11:00 AM – 3:00 PM, 6:00 – 10:00 PM, Thursday: 11:00 AM – 3:00 PM, 6:00 – 10:00 PM, Friday: 11:00 AM – 3:00 PM, 6:00 – 10:00 PM, Saturday: 10:00 AM – 4:00 PM, 6:00 – 10:00 PM, Sunday: 10:00 AM – 4:00 PM, 6:00 – 10:00 PM"
540,Oris,https://www.sunwaypyramid.com/static/shops/23bfdf724d727097ac578ed31d035d33/w768-crop.jpg,https://www.sunwaypyramid.com/directory/oris,https://www.sunwaypyramid.com/static/shops/f926397cdea16739fcdfd97660e0bf69/w768.png,Jewellery & Timepieces,,G1.73 (Ground Floor),"(1⭐) Not good at talking. If you put it nicely, it's called straightforward; if not, it's impolite and bad at doing business. I just think ORIS provides good service, except for the Sunway branch. - 3 months ago | (1⭐) One of the worst salesman i’ve ever come across.I just simply ask why the price is a bit different from the other shop that I went ( not Oris boutique).I know it’s a silly question but it’s kinda big money for me so I thought I’ll just ask whatever in my mind at that time  before I make the purchase.I was so shocked when he replied ‘Go and buy at that other place la!’ .So arrogant as if he owns the shop). Is this how you treat your potential customer? Such a turn off.I ask his name and he said ‘WK’. I don’t know if that is his real name or not.

PS : I went to Omega boutique and the sales person is 10 times more professional than you lot. Good luck! - 2 years ago | (1⭐) Saw the authorised Oris shop in Sunway , went into shop today and asked whether they provide Oris watch repair but the staff that on duty (tall with spec) answered this to me “u think our service centre small like this shop?”
Didn’t expect this kind of reply from ur staff.with the unwelcome attitude staff,I think no one customer still have mood to look or buy a new watch. - 2 years ago | (1⭐) Sent in watch for repair yesterday but the male staff (taller) responded with unwelcome tone and his attitude was cold, without giving much response except keep emphasizing that the repair would take four months; a long period, if I send back to service center through the shop.
The watch was not bought there, it didn't exist at the mall, three years ago, but the staff should act professionally in dealing with after sale service. There's no other customer in the shop anyway. Another male staff (shorter) was more attentive with his gesture and few words even he was not the one who served me. - 2 years ago | (5⭐) Nice place to buy watch. Premium look of shop. Various type of watches and straps. - 2 years ago","Oris Boutique Sunway Pyramid Selangor, Malaysia",+60 16-978 0295,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
541,Osim,https://www.sunwaypyramid.com/static/shops/610eab2d088ab9d9988ce2cf00c54d8c/w768-crop.jpg,https://www.sunwaypyramid.com/directory/osim,https://www.sunwaypyramid.com/static/shops/2ff47b3d80dcb3fa5db3b1b21d65523f/w768.png,Health & Wellness,"OSIM (M) Sdn Bhd started its operations in 1992 and is the leading healthy lifestyle company in Malaysia. OSIM has grown to 70 retail shops across Malaysia and is recognized by the Malaysian Book of Records as the “largest health check and care equipment retail chain”.
OSIM has over 44 years of experience and an uncompromising dedication in developing innovative and reliable healthy lifestyle products.
We continuously innovate and bring new experiences to enhance the daily lives of our customers.",LG2.70A (Lower Ground 2 Floor),"(5⭐) I just purchased the Osim U Cozy and found it very practical for my use. The sales person Wei Shan was very helpful and introduce the product very well. I like her sales attitude and was very patient explaining in detail the features of the U Cozy. Would recommend the product to my family members and friends. I am Y M Wong . - 5 months ago | (5⭐) Rasyid is super helpful. He explains the details throughly for each product that I asked. My friend bought portable massage chair with him before and want to trade in, he even help to collect the chair himself at my friend's house.

I recommend to look for him when u visit this outlet. ⭐️⭐️⭐️⭐️⭐️ for him. - 5 months ago | (1⭐) I just purchase The Gaming Chair on 18 Nov 2024 and found the problem and take photo ask them come to claim warranty and solve the issue, but they delay the warranty till 10 Dec 2024, the warranty delay quite long, the warranty service is very Worse for OSIM

My Invoices is PSI24030421 - 3 months ago | (5⭐) The salesperson Sam is very attentive and helpful, he shares lots of info on the various type of the products. - 3 months ago | (1⭐) I request the sample warranty content, can't provided. After deal, also cannot provide the warranty. Verbally informed one year warranty. In fact, no evidence given to us. A listed company Airasia X cannot be reliable,  how come you request me to believe in you or your company. The sales personnel, Corliss Chin, make me and my younger sister quarral over the phone. I told my younger sister to go for another day but Corliss just want the sales and  closed deal immediate. Very bad sales personnel. Evil sales personnel, make people quarral. How to say in mandarin ... ""mid drop head"" - 2 years ago",OSIM Sunway Pyramid,+60 3-5611 7631,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
542,PENANG CHENDUL,https://www.sunwaypyramid.com/static/shops/e9d04e45fd7716df8a990037b2c4e9da/w768-crop.jpg,https://www.sunwaypyramid.com/directory/penang-chendul,https://www.sunwaypyramid.com/static/shops/274492e1029e90f25e592cd743089d0a/w768.jpg,Food & Beverages,,LG2.90 (Lower Ground 2 Floor),"(2⭐) Penang Chendul at Sunway Pyramid was a bit of a letdown. The service was slow and unremarkable, with food delivery feeling sluggish. While the coffee was strong and sweet, the overall dining experience didn't stand out. The ambience was quite plain, lacking any unique charm. Given the number of better dining options nearby, I’d rate this restaurant 2 stars. There’s definitely room for improvement. - 5 months ago | (3⭐) For those craving for the famous Cendol at Lorong Selamat, Georgetown, Penang, can come here for temporary enjoyment. During the 1st 2 years from opening, the green cendol, Melaka sugar and coconut milk were very good, original and same as the original stall in Penang, but the taste and quality had dropped after that and recently it was back to standard but not that original since it opened anymore. The restaurant right now more look like Warong or Malay Restaurant, just come here for a bowl of cendol is more than enough or just drive up to Georgetown for the original type. The owner of this Cendol, not the owner of this restaurant as it is the franchise restaurant, Mr. Tan Chong Kim and his family (Jimm, Florence & Owen) should regular visit and spot check on the quality and standard at the franchise restaurants before the franchise restaurants screw up the taste and image of his father or grandfather’s (Mr. Tan Teik Fuang) hard created cendol. You may consider to terminate the franchise agreement with them, if you feel that the taste is not as original or tasty as from your stall - 3 months ago | (5⭐) Currently got first sign up gift buy one free one signature chendul, claiming process is very fast, and muarchi Rm3 with any purchase👍🏻
Asam laksa and rojak was delicious here👍🏻
Only setback was not enough air-conditioning here. - 5 months ago | (5⭐) I was contemplating to eat a good cendul until I came across Penang Chendul in Sunway pyramid when the staff Verral approached me.
He was very attentive and keen to let me know the current promotion and also suggest what to eat in the shop.
I'm very happy with the services and would come again for sure! - 2 weeks ago | (5⭐) One of my favorite places for cendol. Can redeem with maxis or hotlink for a cheaper price. Food ok. - 4 months ago",Penang Chendul Sunway Pyramid,+60 16-696 6797,"Monday: 10:00 AM – 9:30 PM, Tuesday: 10:00 AM – 9:30 PM, Wednesday: 10:00 AM – 9:30 PM, Thursday: 10:00 AM – 9:30 PM, Friday: 10:00 AM – 9:30 PM, Saturday: 10:00 AM – 9:30 PM, Sunday: 10:00 AM – 9:30 PM"
543,PERFETTO LINGERIE,https://www.sunwaypyramid.com/static/shops/9cbe379839f7b1ef1bed641250cea652/w768-crop.jpg,https://www.sunwaypyramid.com/directory/perfetto-lingerie,https://www.sunwaypyramid.com/static/shops/bd589c1e2012e5b56bf1a3f5e6fb31ba/w768.png,Asian Avenue,"Retailing of lingerie, sleep wear and swim wear.",F1.AV.136 - 138 (First Floor),"(3⭐) Buying things here is like owing money with the staff. Maybe before owner hiring people, train them about customer service. No smile, not friendly, no one will go in and buy. - a month ago | (4⭐) Local Malay ladies working here are discreet and helpful in choosing lingerie.

They stock lots of lacey sleepwear, lingerie, skimpy cosplay costumes, swimwear and a small selection of adult toys.

Lingerie prices from RM20s to RM50s - a year ago | (5⭐) I go and buy 3 sets of lingeria today. It pretty nice and the staff was so nice and talk to me very patiently. And i love ❤️ the dress so muchh.. - 2 years ago | (1⭐) Ur foriegn worker was very rude.need to improve on her language n manners. Do improve on ur customer service rep. - 3 years ago | (3⭐) No Review - 3 years ago",Perfetto lingerie,N/A,"Monday: 10:00 AM – 9:00 PM, Tuesday: 10:00 AM – 9:00 PM, Wednesday: 10:00 AM – 9:00 PM, Thursday: 10:00 AM – 9:00 PM, Friday: 10:00 AM – 9:00 PM, Saturday: 10:00 AM – 9:00 PM, Sunday: 10:00 AM – 9:00 PM"
544,POISON APPLE,https://www.sunwaypyramid.com/static/shops/1f25bc33c3b46bcc36231a08038cdf2f/w768-crop.jpg,https://www.sunwaypyramid.com/directory/poison-apple,https://www.sunwaypyramid.com/static/shops/f32ac2ae9fdecb373a3b9b631bd51677/w768.png,Food & Beverages,A beautiful place with good food and drinks. Great for gatherings and of course a memorable to-go drinking place.,"Eight Gourmets Gala (EGG), Suite G01, The Pinnacle (Ground Floor)","(4⭐) Ambiance is good. Food is worth a try. We tried baked salmon cheese rice, chicken chop, fish n chips, white dory carbonara &  spaghetti bolognese. - 3 months ago | (5⭐) Love this place a lot!!!! Will definitely come again & highly recommended as well. Choices of drinks & food, so so good!!! Worth it to try!

Staff please don’t be shy to communicate 😁 Hoping the staff can suggest wat to drink & eat as well. They seems to be shy 😅

Overall must try place!! Very very nice ❤️ - a year ago | (3⭐) Celebrated friend birthday at here and first time coming here....

The deco and design is in Snow White theme overall quite nice 😊

We ordered Roman Feast set with RM398 excluded 16% tax...the food is still OK......wedges are crunchy....I love the creamy mushrooms soup....however the portion is so so and the set had 2 salad....which we think is not so worthy...included beverage each people only drink 1, and we had 6 people, we spent around RM110 per headcount....which the price might just eat 1 piece pizza? 1 bowl mushrooms? Haha so we really think not so worthwhile 🤣

The service was OK, they help to take pic, play birthday song... - a year ago | (4⭐) The location of the restaurant is kinda secret. If not familiar with that area, will have to look for quite a long time. Even asking the staff at nearby shop lot also they have no idea where is it - 6 months ago | (5⭐) A romantic quiet environment. It was so nice place with good ambience.
The internal building decoration has snow white theme. Very relaxing and good for gathering.
Somemore, X-mas ambience is all around the air . - a year ago",Poison Apple,+60 12-433 9686,"Monday: 1:00 PM – 12:00 AM, Tuesday: 1:00 PM – 12:00 AM, Wednesday: 1:00 PM – 12:00 AM, Thursday: 1:00 PM – 12:00 AM, Friday: 1:00 PM – 12:00 AM, Saturday: 1:00 PM – 12:00 AM, Sunday: 1:00 PM – 12:00 AM"
