name,img,url,logo,category,description,location
East India Company,https://www.sunwaypyramid.com/static/shops/bb825e8a66f3b4bac535b7f3a11bc2d3/w768-crop.jpg,https://www.sunwaypyramid.com/directory/east-india-company,https://www.sunwaypyramid.com/static/shops/d92e671a06b67c8a5602c92230a29ae6/w768.png,Fashion,,LG1.116A (Lower Ground 1 Floor)
Ecco,https://www.sunwaypyramid.com/static/shops/04ac54e2722fceff7fe0fb1d53965ba9/w768-crop.jpg,https://www.sunwaypyramid.com/directory/ecco,https://www.sunwaypyramid.com/static/shops/da5c2b37857c22bfc4bcf1fed2c92805/w768.png,Fashion,,GF.116C (Ground Floor)
Eggette Lab,https://www.sunwaypyramid.com/static/shops/26165fd297ebbb817a5eeda11e4999de/w768-crop.jpg,https://www.sunwaypyramid.com/directory/eggette-lab,https://www.sunwaypyramid.com/static/shops/5f6c8ad7e10da924f411494ab42c07f2/w768.png,Asian Avenue,Retailing of eggette and drinks only,F1.AV.11 (First Floor)
Elle,https://www.sunwaypyramid.com/static/shops/aa8c0af908b060fbf0ebae51717217f9/w768-crop.jpg,https://www.sunwaypyramid.com/directory/elle,https://www.sunwaypyramid.com/static/shops/5822eee20abb4fbe6f5725ad245dd9af/w768.png,Fashion,"At ELLE, style is about everything. From the way a woman lives, to where she travels, to her taste in music, art, food, cars and technology. A Parisienne is inventive. Capable of adoring this, that and everything, she considers France’s love of a paradox her best friend, her favorite contradiction, her middle name…
No need to live in Paris to get the Parisian style! Be Chic & Effortless with ELLE & ELLE Active ready-to-wear collection available now at Sunway Pyramid.",LG1.59 (Lower Ground 1 Floor)
Emerald Brilliant,https://www.sunwaypyramid.com/static/shops/ea249347b12636c3d4b26e82fb258c2e/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/emerald-brilliant,https://www.sunwaypyramid.com/static/shops/79e04961aed08a79451e0357188a14f7/w768.png,Fashion,,LG1.82 (Lower Ground 1 Floor)
Emergency Contact Tattoo,https://www.sunwaypyramid.com/static/shops/4c19b5fd1f6f2a644b6a8920aa54f943/w768-crop.jpg,https://www.sunwaypyramid.com/directory/emergency-contact-tattoo,https://www.sunwaypyramid.com/static/shops/0a69057b703026fe78b37f3d32113b5d/w768.png,Amenities/Facilities,Place a Child Safe Emergency Contact Tattoo on your child's arm so we can help reconnect them to you if they stray away in the mall. Collect a tattoo at any Concierges!,Multiple Locations
Empire Sushi,https://www.sunwaypyramid.com/static/shops/008ae5737f31020015eacc593b7cd393/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/empire-sushi,https://www.sunwaypyramid.com/static/shops/deca1ce429adfa48d29bccd1b266e314/w768.png,Food & Beverages,Retailing of varieties of Sushi and beverages.,LG2.51 (Lower Ground 2 Floor)
Esquire Kitchen,https://www.sunwaypyramid.com/static/shops/a3b98518d0d4535df754b349ab935ba3/w768-crop.jpg,https://www.sunwaypyramid.com/directory/esquire-kitchen,https://www.sunwaypyramid.com/static/shops/b2c0ae466210f052b14ff1604f2736a1/w768.png,Food & Beverages,to use the existing brand description,G1.42A (Ground Floor)
Estee Lauder,https://www.sunwaypyramid.com/static/shops/037e31239a5359a0c1ebc32a53b461ec/w768-crop.jpg,https://www.sunwaypyramid.com/directory/estee-lauder,https://www.sunwaypyramid.com/static/shops/874e5c3a8a8105b8a93b74add137fce2/w768.png,Beauty,"Original from American, Estée Lauder is now available at Sunway Pyramid. Estée Lauder is an American multinational manufacturer and marketer of prestige skincare, makeup, fragrance and hair care products, based in Midtown Manhattan, New York City. The company owns a diverse portfolio of brands, distributed internationally through both digital commerce and retail channels. The company began in 1946 when Estée Lauder and her husband Joseph Lauder began producing cosmetics in New York City. They first carried only four products: Cleansing Oil, Skin Lotion, Super Rich All-purpose Creme, and Creme Pack. Estée Lauder's Clinique brand became the first women's cosmetic company to introduce a second line for men when, in 1976, they began a separate line called ""Skin Supplies for Men"", which continues to be sold at Clinique counters worldwide. In 1981, the company's products became available in the Soviet Union. The Estée Lauder brand has had sometimes high-profile spokesmodels, sometimes referred to simply as 'faces'. Past 'faces' for Estée Lauder include Karen Graham, Bruce Boxleitner, Shaun Casey, Willow Bay, Paulina Porizkova, Elizabeth Hurley, Carolyn Murphy, supermodel Liya Kebede was the first African American 'face' of Estee Lauder, Anja Rubik, and actress Gwyneth Paltrow. As of 2008 the main spokesmodel for Estée Lauder was supermodel Hilary Rhoda. In 2010, the company added three more faces to the roster, Chinese model Liu Wen, Puerto Rican model Joan Smalls, and French model Constance Jablonski. Check out the best deals on Estée Lauder in Sunway Pyramid.
#BeautyTreats",G1.128B (Ground Floor)
Eu Yan Sang,https://www.sunwaypyramid.com/static/shops/e04fec461e464439f0d0fd0133734ea8/w768-crop.jpg,https://www.sunwaypyramid.com/directory/eu-yan-sang,https://www.sunwaypyramid.com/static/shops/06b3ac4028e56f81bbaf2cc15502d288/w768.png,Health & Wellness,"Are you having difficulties in finding the right gift for your loved ones? Why not giving them a gift that can boost their health? Eu Yan Sang will be the ideal place for you to shop for health-care products!
Founded by Eu Kong, a China citizen from Foshand in Guangdong who came to Malaya for work. During the 1870’s to 1880’s in Malaya, tine mine coolies were suffering from opium addiction, which prompted the founder to open a Chinese medicine and herb shop in Gopeng, Perak. The shop was named ‘Yan Sang’, which literally means ‘caring for mankind’ in Chinese. His son, Eu Tong, continued his father’s business and expanded the business to Singapore too. After on, he decided to brand the medical business more firmly with the attachment of his family name –Eu Yan Sang.
The brand’s value is to care for mankind, which will remain constant and unchanging. With their ever-growing product range, you can get health products for women, men, and even infant. One of their best-selling products by are Bottled Bird’s Nest (to promote general health) and Essence of Chicken (to replenish energy and nourish blood). Besides Chinese herb and medicine, other products that you can get are dietary supplements, health foods, and personal care products.
Remember, taking care of your health is vital for a happy life! Give them a visit at Level Lower Ground 2 (Blue Zone) now!",LG2.129A-1 (Lower Ground 2 Floor)
FASHION ACCESSORIES BOUTIQUE,https://www.sunwaypyramid.com/static/shops/865838d369728bd382903c51efbfe466/w768-crop.jpg,https://www.sunwaypyramid.com/directory/fashion-accessories-boutique,https://www.sunwaypyramid.com/static/shops/9d22f1e6f875510219e3e4ee122558ad/w768.png,Fashion,,LG2.PC-064 (Lower Ground 2 Floor)
FF Mobile Boutique,https://www.sunwaypyramid.com/static/shops/9b0066d7fc8b33f647f109888bc2609a/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/ff-mobile-boutique,https://www.sunwaypyramid.com/static/shops/8fa553c854f357570bce6ad5ce49bee1/w768.png,Digital Lifestyle,,F1.PC206 (First Floor)
FILA,https://www.sunwaypyramid.com/static/shops/1b0aa0e1b6f73854df4395cddeb45312/w768-crop.jpg,https://www.sunwaypyramid.com/directory/fila,https://www.sunwaypyramid.com/static/shops/495584a739a5646cb5500bb0f0b336f8/w768.png,Fashion,"The Beginning of Fila
In 1911, in Biella, a small Italian town near the Alps, the FILA brothers, who were interested in the textile industry, established a knitwear and underwear company, leveraging the town's abundant resources.
Over time, the business expanded by incorporating the artistic color sense unique to Italians into their clothing, laying the foundation for what Fila is today.
Globally known
FILA gained global attention for its instantly recognisable tennis apparel in the 1970s, and has since expanded their design portfolio to include sporting apparel across a wide range of codes including golf, training, running and compression wear.
While their technical processes are at the forefront of sporting design, the brand remains true to its time-honoured European aesthetic and outfits professional artists and athletes from around the world.
A century after its inception, FILA has become synonymous with both sport and sophistication, worn by world-renowned professional athletes as well as fashion-conscious individuals.
Collaborations with luxury fashion houses and influential designers have captured the attention of the fashion world, and the premium lifestyle sports brand continues to make its mark to this day.
FILA Tennis
By introducing colorful and modern designs to tennis courts, where players were traditionally required to wear mostly white attire, it brought a breath of fresh air to tennis fashion",G1.70 (Ground Floor)
FOCUS POINT,https://www.sunwaypyramid.com/static/shops/35a9ca1a85aa05e98dbc750eb6ff6935/w768-crop.jpg,https://www.sunwaypyramid.com/directory/focus-point-lg2-06a,https://www.sunwaypyramid.com/static/shops/4b773d09307efdca53baf99c9d5aee7f/w768.png,Eyewear,Focus Point is officially recognized by the Malaysia Book of Records as the largest optical retail chain store in Malaysia and also the first and only optical retail chain store to be listed in Bursa Malaysia. With more than 180 outlets nationwide and more than 230 eye care professionals ready to serve you. Customers have a wide range of fashionable eyewear to choose from.,LG2.06A (Lower Ground 2 Floor)
FROST N BITES,https://www.sunwaypyramid.com/static/shops/694b4853dbc3c9c0295a68e3cfbde43e/w768-crop.jpg,https://www.sunwaypyramid.com/directory/frost-n-bites,https://www.sunwaypyramid.com/static/shops/c96bb5d9d787a0ad4731cdf3b0bbf17b/w768.png,Food & Beverages,"Where frozen delights meet comfort and happiness! Frost n Bites is a local artisanal gelato brand that inspires to make the best classic gelatos for every day’s simple pleasure.
Using the finest imported ingredients and gelato making techniques from Italy, they have developed a wide variety of delicious classic Italian flavours of gelatos and sorbets such as Mint-Choc-Chip and Pistachio. But they don't stop at extraordinary flavours. Come try their delectable crunchy croffles too! Any day is a good day for gelato.",F1.58H (First Floor)
Faber-Castell,https://www.sunwaypyramid.com/static/shops/cb3f9098c359bd700e88d87d75fa685c/w768-crop.jpg,https://www.sunwaypyramid.com/directory/faber-castell,https://www.sunwaypyramid.com/static/shops/52752aa56711d511f99b47597a9f5365/w768.png,Books & Stationery,"Faber-Castell has long held a strong position when it comes to premium stationery. Founded in Stein, Germany, Faber-Castell offers children and adults a wide array of quality-branded stationery products with true points of difference through its “Companion for Life” Portfolio. From child-grip friendly color pencils and crayons, to engraved fountain pens and top-tier paints, Faber-Castell provides a comprehensive list of tools for all your artistic needs.
Today Faber-Castell operates 14 production sites in 10 countries, markets its products through 25 sales/distribution organizations and is represented in 120 different countries including Malaysia. In addition, Creativity for Kids is represented in 50 countries around the world. The Creativity for Kids brand continues its well-deserved reputation as a consistent provider of quality, innovative, and thoughtful products for children that consist of both classic and trendy creative activities. Today, many Creativity for Kids products include Faber-Castell art supplies as components that enrich the creative experience. Creativity for Kids craft kits have received many awards from organizations such as Oppenheim Toy Portfolio, Dr. Toy, The National Parenting Center, ASTRA (American Specialty Toy Retailing Association) and the TIA (Toy Industry Association), plus recognition in national publications such as Parents Magazine and Good Housekeeping.
Faber-Castell is proud of its longevity and what it represents – consistent delivery of a quality experience in all areas of business. More than 150 years after the company’s first appearance in the United States, Lothar von Faber’s legacy is nicely summed up in his own statement, “From the start I was determined to raise myself to the highest rank by making the best that can be made in the world.” Faber-Castell is committed to staying true to this vision of quality, tradition, and innovation now and in the future.",LG1.71 (Lower Ground 1 Floor)
Fabiano Ricco,https://www.sunwaypyramid.com/static/shops/bdcfcb39693405d8dc996bdfd7dd2859/w768-crop.jpg,https://www.sunwaypyramid.com/directory/fabiano-ricco,https://www.sunwaypyramid.com/static/shops/b0e10665c21bc726d1eb01ffbbbfd515/w768.png,Asian Avenue,"Pamper your feet with a pair (or more) of gorgeous shoes from Fabianno Ricco, a treasure trove of pretty footwear at Asian Avenue in Sunway Pyramid! Offering more than just a galore of stylish shoes, they even retail bags that are equally appealing, so you’ll cover both your shoe and handbags need in just one spot! Demure and ever elegant, shop their covered flats available in numerous colours and styles, from embellishments to oversized buckles to pleated fabrics. You can opt for a version that hover more to ballerina flats style, or a sandal type with ankle straps to hold your feet securely at the back. For the ladies who love a bit of heels to make you look tall and lean, try their covered heels available in different materials, whether you prefer velvet, suede, or even leather. With its array of pretty colours, these covered heels come in block heels or stilettos heels depending on what you’re more comfortable in. If you love wearing mules or pumps, you can check out their range of pointed toe or square toe mules, asymmetrical slip on sandals, or strappy stiletto pumps. Sandal flats are the perfect companion for your feet, and it comes in different designs to suit various occasions, with some having ruffles, embellished straps, lace detailing, pearls and more! You’ll love browsing through their range of super classy sandal heels, such as their open toe block heels, knotted detail sandal heels, asymmetric strap block heels, strappy slingbacks and more! For a firmer grip you can opt for their wedges, some with transparent straps, sequins, pleated fabrics and many more designs. Complete the look with a bag from their gorgeous selection! Try on their crossbody bags such as their sling bags or satchels available in multiple colours. Check out their classic handbags that have various handle styles, whether you want double handles, circular top handles, chain straps. Functional and stylish, their shoulder bags and tote bags help you look great while giving you enough room to keep your essentials.",F1.AV.10 (First Floor)
Family Parking,https://www.sunwaypyramid.com/static/shops/fd7ab2db5668bb7c62cf04f6fe49769e/w768-crop.jpg,https://www.sunwaypyramid.com/directory/family-parking,https://www.sunwaypyramid.com/static/shops/86cb78fc4a85e8d7a5556132ca896d8c/w768.png,Amenities/Facilities,"For families with strollers and young children, a well-lit family parking area is available!
The family parking area is in close proximity to the mall entrances and lifts which will help ease convenience for mummies, daddies or guardians who are travelling alone with young children.",B1.PARKING (Basement 1)
FamilyMart,https://www.sunwaypyramid.com/static/shops/fae0836c3818b4c8bdefee92b359cb01/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/familymart,https://www.sunwaypyramid.com/static/shops/b93ff61656acf81065230ac95210cffa/w768.png,Convenience Store / Groceries,Retailing and operating of a convenience store only.,OB2.G.U2A (Ground Floor)
Famous Amos,https://www.sunwaypyramid.com/static/shops/caeb982b16d5f42a9fea4884200f4c20/w768-crop.jpg,https://www.sunwaypyramid.com/directory/famous-amos,https://www.sunwaypyramid.com/static/shops/d5065044fb38faca00164e689284d5a4/w768.png,Food & Beverages,"Retailing of cookies, muffins, cookies, gifts and sweets.",LG2.K.12 (Lower Ground 2 Floor)
Fashion Feet,https://www.sunwaypyramid.com/static/shops/0dcb74eeb628a2bd8edfbe598b5b8d59/w768-crop.jpg,https://www.sunwaypyramid.com/directory/fashion-feet,https://www.sunwaypyramid.com/static/shops/20fe3b177414933188b15decec5151b0/w768.png,Fashion,,PC-208 (PushCart) (First Floor)
Felancy,https://www.sunwaypyramid.com/static/shops/094287a94416a67af484b878d64cdd27/w768-crop.jpg,https://www.sunwaypyramid.com/directory/felancy,https://www.sunwaypyramid.com/static/shops/3d0255147f890a9e586d7c0c4695f50a/w768.png,Asian Avenue,"Your lingerie can either be cute and adorable, or alluring and sexy, but either way you’re assured that any piece of lingerie you buy from Felancy in Sunway Pyramid is made of pure comfort. Local-based lingerie brand Felancy is your one stop female shopping paradise, retailing pieces from intimate wear to fashionable apparel made from great quality, and all at affordable prices. Sexy is the new confident, and Felancy lets you achieve that without having to break your budget. Shop for your wardrobe essentials here, whether you’re in need of a bra, sports bra, panties or shapewear. Their bras are available in several options depending on your fashion needs. You’ll never have to worry again about finding the right bra for that cute OOTD you’ve planned out. Their range includes half cups, padded bras, wired bras or wireless bras. Need to wear an alluring off-shoulder top or dress? Felancy has just the solution for you with their comfy strapless bras and bras with removable straps that are designed to be a perfect fit. Your next workout session won’t be complete without the perfect sports bra, try on their range which includes low to high impact sports bras, wireless sports brads, and those with removable pads. Their sports bras are uber stylish too, coming in different styles such as cross-backs, strappy back or race-back styles. Colourful and super sweat absorbent, you’ll never leave to the gym without it again! Comfortable panties are essential to helping you get on with your day confidently, browse through their selection of mini, midi, and maxi panties, all available in different colours and designs to suit your preference! Look fit with their range of shapewear, with their options of high waist shapewear, medium waist shapewear, and long legs shapewear. With their offerings being super comfortable, stylish and affordable, you’ll find yourself buying just more than on garment from Felancy!",F1.AV.023 (First Floor)
"Fipper, Feel The Rubber",https://www.sunwaypyramid.com/static/shops/666b75e38c730a192a8f0aff4aaec282/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/fipper-feel-the-rubber,https://www.sunwaypyramid.com/static/shops/dec9007e86d27f1d577f6fe0ec016196/w768.png,Footwear,"Inspired by colors, culture & the people who surrounded them, Fipper's objective is to convey their trendy lifestyle through unique products. Created in 2008, the timeless and colorful design of the Fipper collection comes in a variety of styles that appeal to the individual in a modern and colorful way yet conventional. Each pair is designed with the commitment to bring the customers the highest of quality, comfort and affordability. Now, Fipper is available at Sunway Pyramid and this will be Fipper's flagship store! In addition to a complete range of Fipper footwear and merchandise, we also provide a warm environment for Fipper's lovers, and set up a kids zone, where your child can play and select the footwear that suit your child.
Fipper is aimed at connecting sandal lover’s feet to Mother Nature. At Fipper, our vision is to enrich the rubber experience to all our Fipper Lovers. We specialized in the team design of our very own brand of footwear.
At Fipper, we employed a dedicated team of professional designers that keep track of the latest design of slippers that suits the requirements and comfort footwear lovers, bring it indoors or outdoors. These designs shall then be delivered over to our carefully selected factories in Thailand for careful production. Whether it is the Fipper Basic series in a single color, or the Fipper Slim, Walker and Wide in a multi-color combination, they will provide you with the most comfortable walking experience. In addition, our newly designed Refitt, Trekker and Slip On will bring you a brand-new experience.
Fipper’s success largely comes from the concept of combining our innovative design and combination of color for all footwear lovers. Having said that, our Fipper enjoys a good reputation for producing high quality, stylish design and comfortable footwear.",LG1.83A (Lower Ground 1 Floor)
First Aid Kit,https://www.sunwaypyramid.com/static/shops/34f06a5616a4da662253d169c92aaf6c/w768-crop.jpg,https://www.sunwaypyramid.com/directory/first-aid-kit,https://www.sunwaypyramid.com/static/shops/5b67af5c511d9b8372a26a8fb9415381/w768.png,Amenities/Facilities,"Need an emergency plaster, antiseptic cream or basic first aid?
Drop by to our Concierge at G Floor !",G1.INFO (Ground Floor)
Fitness Concept,https://www.sunwaypyramid.com/static/shops/6a000a4dfe724679c807c3f90e981375/w768-crop.jpg,https://www.sunwaypyramid.com/directory/fitness-concept,https://www.sunwaypyramid.com/static/shops/85333315579ee54793385b0100728c43/w768.png,Health & Wellness,"Fitness Concept is the Largest 1 Stop Fitness Specialist Chain Store in Malaysia. We carry the widest range of health and fitness equipment from USA, Europe and Asia Pacific.",LG2.75 (Lower Ground 2 Floor)
Fleurs,https://www.sunwaypyramid.com/static/shops/758fa44e7de005fec54b4cda48f3da31/w768-crop.jpg,https://www.sunwaypyramid.com/directory/fleurs,https://www.sunwaypyramid.com/static/shops/953569665b79dc87e4c20983ce509442/w768.png,Toys & Hobbies,Retailing of flowers and related products.,B1 (Basement 1)
Floramiya,https://www.sunwaypyramid.com/static/shops/1640b084f9883cbe0395c68519325323/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/floramiya,https://www.sunwaypyramid.com/static/shops/5c78d8b78d396ba1b35fbb4e2b34eb83/w768.png,Asian Avenue,,F1.AV.139 (First Floor)
Focus Point,https://www.sunwaypyramid.com/static/shops/4edeacdaa0dc984ccf953fda17fc5c5c/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/focus-point,https://www.sunwaypyramid.com/static/shops/0052f43702405db10c3fe46ab0d1125d/w768.png,Eyewear,Focus Point is officially recognized by the Malaysia Book of Records as the largest optical retail chain store in Malaysia and also the first and only optical retail chain store to be listed in Bursa Malaysia. With more than 180 outlets nationwide and more than 230 eye care professionals ready to serve you. Customers have a wide range of fashionable eyewear to choose from.,G1.92 (Ground Floor)
Foot Locker,https://www.sunwaypyramid.com/static/shops/8fd18fb430e5302f1dd4be11ab93b613/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/foot-locker,https://www.sunwaypyramid.com/static/shops/cc5f871a8be0598e755df894bb98e117/w768.png,Fashion,,LG2.146 (Lower Ground 2 Floor)
Formosa,https://www.sunwaypyramid.com/static/shops/b08bf3b327acdab86a355f1905c32734/w768-crop.jpg,https://www.sunwaypyramid.com/directory/formosa,https://www.sunwaypyramid.com/static/shops/f55047789d70250018fd7c26f6381bd7/w768.png,Asian Avenue,Retailing in Taiwan street snacks.,F1.AV.167 (First Floor)
Fossil,https://www.sunwaypyramid.com/static/shops/f3e19e70da71031986482256ff09046c/w768-crop.jpg,https://www.sunwaypyramid.com/directory/fossil,https://www.sunwaypyramid.com/static/shops/4aba1693a4ff0651f43d647c53e3ca70/w768.png,Fashion,"""We believe the greatest adventure of all is the road to self discovery. And we’ve made it our mission to create distinctive, beautifully crafted accessories that are right there with you every step of your journey.
Today, we continue to focus on what makes us, us: optimism, authenticity and, of course, our creative spirit. Everything we make complements every style and fits every lifestyle—for all the moments that make you, you.""",G1.102 (Ground Floor)
Fresh,https://www.sunwaypyramid.com/static/shops/26eec811b7208c3032c2ef7c7417754b/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/fresh,https://www.sunwaypyramid.com/static/shops/4291a935d446d408e988d522b19fe2eb/w768.png,Beauty,"The most inspiring skincare brand, fresh harnesses nature's potency from around the world to awaken senses and transform skin. Placing sensoriality at the heart of performance, fresh creates multi-sensorial indulgences that feel as good as they work. The brand was founded as a shop in 1991 by Lev Glazman and Alina Roytberg, creative visionaries driven by their curiosity about natural time-honored remedies and extraordinary experiences for the skin. An LVMH Maison since 2000, fresh is a global company based in New York offering skincare, lip care, bodycare, and fragrance in over 25 countries. Because nature is our destination for innovation, the brand is committed to protecting biodiversity where it sources ingredients -nurturing the skin of the earth for a thriving, harmonious world that is forever fresh.
#BeautyTreats",G1.48 (Ground Floor)
Fresh Fruits,https://www.sunwaypyramid.com/static/shops/0c750202a054498b7fc1c37b9f09e703/w768-crop.jpg,https://www.sunwaypyramid.com/directory/fresh-fruits,https://www.sunwaypyramid.com/static/shops/f79635bfa82f741d2512b96e768a3a9c/w768.png,Food & Beverages,Retailing of fresh fruits.,F1.58D (First Floor)
Fresh Line,https://www.sunwaypyramid.com/static/shops/60f1d2afe90a276b9f5925300faa303e/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/fresh-line,https://www.sunwaypyramid.com/static/shops/924cd17afc0228ab2447ec47dc480285/w768.png,Beauty,"Since 1992, Fresh Line blends Greek herbal wisdom with science to create natural face, body, and hair care products. Enjoy luxurious textures and beautiful scents to elevate your senses and nurture your skin!",G1.125C (Ground Floor)
Fun Scape by Cobay,https://www.sunwaypyramid.com/static/shops/dec7eac174b96420441904e9d25f10ce/w768-crop.jpg,https://www.sunwaypyramid.com/directory/fun-scape-by-cobay,https://www.sunwaypyramid.com/static/shops/2b160841926b7ecfec79b21c1f258665/w768.png,Entertainment,,Fun Scape by Cobay (Basement 1)
Furla,https://www.sunwaypyramid.com/static/shops/9fb327a259087692b83e1e6b0a0a894b/w768-crop.jpg,https://www.sunwaypyramid.com/directory/furla,https://www.sunwaypyramid.com/static/shops/8222b14a6a9e62ff39a2a60b949107aa/w768.png,Bags & Leather Goods,"Hailing from one of the most iconic countries in the world of fashion, Furla was birthed as an Italian luxury goods company in 1927. With it expansion of exporting to over 70 countries, they have landed here in Sunway Pyramid to bring in Italian-designed products ranging from handbags to shoes to accessories. The right handbag is the perfect companion that’ll keep your belongings and help make you look effortlessly stylish, and that’s exactly what you’ll find at Furla. Ladies will fall in love instantly at the sight of their handbags, offered in an extensive selection of colours, from bright reds to pastel blues and neutral shades. Unique designs and details on the bag make it distinct, you’ll be the envy of everyone around you. From cross-body bags, to shoulder bags, tote bags, candy bags, top handle bags, satchels, pochette bags, dome bags, and more, you’ll find these bags available in different sizes and in such a wide array of eye-catching colours and prints - choosing just one hardly seems like enough! Once you’ve set your heart on one (or more!) of their gorgeous bags, you’ll definitely need to shop for a pair of shoes that are equally as fashionable. Put on their heels, sandals, or pumps and hold on to that bag, trust us you’ll feel like you can conquer the world! Browse through their line of wallets that are not only practical and spacious, but super classy. Match this combination with one of their classic watches and you’re more than ready to be the centre of attention wherever you’re headed to! Expect nothing short of perfectly crafted genuine bags, with unique designs, practical compartments and exquisite colours when you step into Furla.",G1.31 (Ground Floor)
Future Land,https://www.sunwaypyramid.com/static/shops/e9b1714d4706375da051155d58f2d3c1/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/future-land,https://www.sunwaypyramid.com/static/shops/e4ed944ea0ab21b0ce93e6faa9a661d7/w768.png,Entertainment,"A haven for VR fans, Future Land at Sunway Pyramid promises lots of fun and entertainment for the whole family with attractions and Virtual Reality experiences in all shapes and sizes! Using modern-day technology and sophisticated equipment, some of the notable attractions include the 360 Flight and ExoJet simulators, Mirror Maze, VR Hero, 6D Cinema, VR Car simulator. Future Land is perfect for a fun-filled weekend with the family or when you wish to add more thrill to your children's school holiday.
The 6 seater VR Family takes you on an adventure with special sound effects and movements suited for all ages. Select your VR movie with a choice of ""adventure, horror or explore"" where family with kids as young as 3 years old may opt for the explore story while adults may try out the horror mode. The VR Car Simulator gives you the experience of driving round a racing track where any accidents or impacts would be transmitted physically to the driver within a controlled system. Wish to take driving on-ground up into the air? The Flight Simulator 360 fits you right into a pilot's cabin where you will be manoeuvring a fighter jet. This ride is however suitable for kids above 9 years old as it rotates 360 degrees. On the other hand, the EXO Jet Simulator has 2 seats whereby one person may act as the pilot and the other the shooter. A perfect father and son or couple bonding time wouldn't you say? Another must to check-out is the VR Skateboard where there are 200 stunts to master as you skate, surf and swing from tall buildings. Tired or need a break before resuming the fun? Future Land also has a zone where you could enjoy snacks and drinks while relaxing on bean bags.
What other better place than Future Land at Sunway Pyramid to bring your kid for their birthday outing or host a team-building activity for your company.",F1.20 & F1.21 (First Floor)
Future One,https://www.sunwaypyramid.com/static/shops/28c0e83d29ce66ca673065160e0c07fd/w768-crop.jpg,https://www.sunwaypyramid.com/directory/future-one,https://www.sunwaypyramid.com/static/shops/a79d8976e4c3aadda94cdea0aaaa1c78/w768.png,Asian Avenue,,F1AV.109&110 (First Floor)
Future Trend,https://www.sunwaypyramid.com/static/shops/dc519e1f957f5ba4db0cff3f41eea17c/w768-crop.jpg,https://www.sunwaypyramid.com/directory/future-trend,https://www.sunwaypyramid.com/static/shops/fd066de5b9222e0503344871de4b50d0/w768.png,Asian Avenue,,F1AV.88&89 (First Floor)
G-Shock,https://www.sunwaypyramid.com/static/shops/96e593c6b67f4deeacc3948844cfda4b/w768-crop.jpg,https://www.sunwaypyramid.com/directory/g-shock,https://www.sunwaypyramid.com/static/shops/34535aad0665cfecbd155910ee8238e3/w768.png,Jewellery & Timepieces,,F1.96B (First Floor)
G2000,https://www.sunwaypyramid.com/static/shops/0830a1b0dc6d3b015d64416af0b9deb2/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/g2000,https://www.sunwaypyramid.com/static/shops/39f9989aced9fa60bb9ff2f686ef82f9/w768.png,Fashion,"G2000 was founded in 1980 with its headquarters in Hong Kong. The G2000 collection embodies the spirit of ""New Adventures..."" by offering a brand-new workwear experience. Taking our customers on a new adventure to rediscover the joy of dressing up for work by versatile cuts, functional materials, and vibrant colors, we strive to ensure that they feel comfortable to embark on a new chapter in their professional lives.",G1.20 (Ground Floor)
GEM STUDIO,https://www.sunwaypyramid.com/static/shops/50e238923b024caae71ab4b308d41a95/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/gem-studio,https://www.sunwaypyramid.com/static/shops/c1c33687d367ad9ba73127caf5a9f03c/w768.png,Haircare / Salon,"Retailing of salon, grooming, make-up, facials, nail services, beauty services and related products & accessories.",F1.13 (First Floor)
GF Ice Rink Railing,https://www.sunwaypyramid.com/static/shops/5f29d0d1579e39895b4cf1b1c69d5035/w768-crop.jpg,https://www.sunwaypyramid.com/directory/gf-ice-rink-railing,https://www.sunwaypyramid.com/static/shops/d889b0cad50021d973627160cd6d7938/w768.jpg,Event,,GF Ice Rink Railing (Ground Floor)
GF Orange Entrance,https://www.sunwaypyramid.com/static/shops/b77b6b3d21c44de6c2cb9f6a57ad5eaa/w768-crop.jpg,https://www.sunwaypyramid.com/directory/gf-orange-entrance,https://www.sunwaypyramid.com/static/shops/1a4ab22a17bd9b27f112157cfeeb5656/w768.png,Event,,GF Orange Entrance ()
GIFTOPRECIOUS,https://www.sunwaypyramid.com/static/shops/bbf5670d127283055f9df43c75251081/w768-crop.jpg,https://www.sunwaypyramid.com/directory/giftoprecious,https://www.sunwaypyramid.com/static/shops/0c7b813fcfdf27130922543aa4899271/w768.png,Gift,Retailing of preserved flower gift / boutique and accessories.,LG1.043.PushCart (Lower Ground 1 Floor)
